STATE,DISTRICT,Year,pH,NO3
Andhra Pradesh,Alluri Sitharama Raju,2019,7.228499999999999,19.2
Andhra Pradesh,Alluri Sitharama Raju,2020,7.228499999999999,19.2
Andhra Pradesh,Alluri Sitharama Raju,2021,7.228499999999999,19.2
Andhra Pradesh,Alluri Sitharama Raju,2022,7.228499999999999,19.2
Andhra Pradesh,Alluri Sitharama Raju,2023,7.228499999999999,19.2
Andhra Pradesh,Anakapalli,2019,7.029259259259259,64.85185185185185
Andhra Pradesh,Anakapalli,2020,7.029259259259259,64.85185185185185
Andhra Pradesh,Anakapalli,2021,7.029259259259259,64.85185185185185
Andhra Pradesh,Anakapalli,2022,7.029259259259259,64.85185185185185
Andhra Pradesh,Anakapalli,2023,7.029259259259259,64.85185185185185
Andhra Pradesh,Ananthapuramu,2019,7.899354838709677,105.03225806451611
Andhra Pradesh,Ananthapuramu,2020,7.761824794433902,92.99111321948133
Andhra Pradesh,Ananthapuramu,2021,7.624294750158127,80.94996837444654
Andhra Pradesh,Ananthapuramu,2022,7.486764705882352,68.90882352941176
Andhra Pradesh,Ananthapuramu,2023,7.664677419354838,38.82258064516129
Andhra Pradesh,Annamayya,2019,7.654794520547944,18.45205479452055
Andhra Pradesh,Annamayya,2020,7.654794520547944,18.45205479452055
Andhra Pradesh,Annamayya,2021,7.654794520547944,18.45205479452055
Andhra Pradesh,Annamayya,2022,7.654794520547944,18.45205479452055
Andhra Pradesh,Annamayya,2023,7.654794520547944,18.45205479452055
Andhra Pradesh,Bapatla,2019,7.468787878787879,14.333333333333334
Andhra Pradesh,Bapatla,2020,7.468787878787879,14.333333333333334
Andhra Pradesh,Bapatla,2021,7.468787878787879,14.333333333333334
Andhra Pradesh,Bapatla,2022,7.468787878787879,14.333333333333334
Andhra Pradesh,Bapatla,2023,7.468787878787879,14.333333333333334
Andhra Pradesh,Chittoor,2019,7.710333333333334,27.63233333333333
Andhra Pradesh,Chittoor,2020,7.58728888888889,31.07311111111111
Andhra Pradesh,Chittoor,2021,7.464244444444445,34.513888888888886
Andhra Pradesh,Chittoor,2022,7.341200000000001,37.95466666666667
Andhra Pradesh,Chittoor,2023,7.607704918032787,14.836065573770492
Andhra Pradesh,East Godavari,2019,7.721204819277107,41.549156626506026
