STATE,DISTRICT,Year,pH,NO3
Andhra Pradesh,Anakapalli,2023.0,7.029259259259259,64.85185185185185
Andhra Pradesh,Annamayya,2023.0,7.654794520547944,18.45205479452055
Andhra Pradesh,Bapatla,2023.0,7.468787878787879,14.333333333333334
Andhra Pradesh,Chittoor,2023.0,7.607704918032787,14.836065573770492
Andhra Pradesh,East Godavari,2022.0,7.649230769230769,53.06153846153846
Andhra Pradesh,East Godavari,2023.0,7.394399999999999,16.08
Andhra Pradesh,Eluru,2023.0,7.135675675675675,19.08108108108108
Andhra Pradesh,Guntur,2022.0,7.773333333333333,59.61851851851852
Andhra Pradesh,Guntur,2023.0,7.5215625,37.28125
Andhra Pradesh,Kakinada,2023.0,7.576086956521739,24.82608695652174
Andhra Pradesh,Krishna,2022.0,7.897777777777778,16.166666666666668
Andhra Pradesh,Krishna,2023.0,7.331428571428572,8.982142857142858
Andhra Pradesh,Kurnool,2022.0,7.476896551724138,70.1655172413793
Andhra Pradesh,Kurnool,2023.0,7.784999999999999,115.67857142857143
Andhra Pradesh,Nandyal,2023.0,7.611599999999999,25.68
Andhra Pradesh,Ntr,2023.0,7.7188888888888885,44.074074074074076
Andhra Pradesh,Palnadu,2023.0,7.752571428571428,94.25714285714285
Andhra Pradesh,Parvathipuram Manyam,2023.0,7.7725,26.875
Andhra Pradesh,Srikakulam,2022.0,7.51,43.55
Andhra Pradesh,Srikakulam,2023.0,7.466530612244898,34.04081632653061
Andhra Pradesh,Visakhapatnam,2021.0,7.381875,44.0625
Andhra Pradesh,Visakhapatnam,2023.0,6.976000000000001,36.7
Andhra Pradesh,Vizianagaram,2023.0,7.068666666666666,28.666666666666668
Andhra Pradesh,West Godavari,2022.0,7.688125,22.1625
Andhra Pradesh,West Godavari,2023.0,7.666923076923077,13.961538461538462
Arunachal Pradesh,Changlang,2019.0,7.09,0.0
Arunachal Pradesh,Changlang,2020.0,7.15,0.76
Arunachal Pradesh,Changlang,2021.0,7.835,5.87
Arunachal Pradesh,Changlang,2022.0,7.553,6.3
Arunachal Pradesh,Changlang,2023.0,7.27,0.0
Arunachal Pradesh,East Siang,2022.0,7.766666666666667,16.333333333333332
Arunachal Pradesh,East Siang,2023.0,7.906666666666666,2.3333333333333335
Arunachal Pradesh,Lohit,2021.0,7.39,0.06
Arunachal Pradesh,Lohit,2022.0,7.492999999999999,4.3
Arunachal Pradesh,Lohit,2023.0,7.29,0.0
Arunachal Pradesh,Lower Subansiri,2022.0,7.51825,11.975
Arunachal Pradesh,Tirap,2019.0,7.31,0.0
Arunachal Pradesh,Tirap,2020.0,6.833333333333333,0.71
Arunachal Pradesh,Tirap,2021.0,7.3,6.286666666666666
Arunachal Pradesh,Tirap,2022.0,7.9975000000000005,3.75
Arunachal Pradesh,Tirap,2023.0,7.716666666666666,7.333333333333333
Assam,Baksa,2019.0,7.615217391304348,0.3408695652173913
Assam,Baksa,2021.0,7.6000000000000005,5.056666666666667
Assam,Baksa,2022.0,8.395,4.58
Assam,Baksa,2023.0,7.294545454545454,7.181818181818182
Assam,Barpeta,2020.0,9.0,4.1049999999999995
Assam,Barpeta,2021.0,7.789999999999999,0.54
Assam,Barpeta,2022.0,7.3675,21.55
