STATE,DISTRICT,Year,pH,NO3
Andaman & Nicobar Islands,North And Middle Andaman,2019.0,7.469568965517242,8.741379310344827
Andaman & Nicobar Islands,North And Middle Andaman,2021.0,7.458846153846154,1.3076923076923077
Andaman & Nicobar Islands,North And Middle Andaman,2023.0,8.096315789473685,6.157894736842105
Andaman & Nicobar Islands,South Andaman,2019.0,7.512218844984803,2.509118541033435
Andaman & Nicobar Islands,South Andaman,2021.0,7.598518518518519,0.9648148148148149
Andaman & Nicobar Islands,South Andaman,2023.0,8.1144,3.6666666666666665
Andhra Pradesh,Alluri Sitharama Raju,2023.0,7.228499999999999,19.2
Andhra Pradesh,Anakapalli,2023.0,7.029259259259259,64.85185185185185
Andhra Pradesh,Ananthapuramu,2019.0,7.899354838709677,105.03225806451611
Andhra Pradesh,Ananthapuramu,2022.0,7.486764705882352,68.90882352941176
Andhra Pradesh,Ananthapuramu,2023.0,7.664677419354838,38.82258064516129
Andhra Pradesh,Annamayya,2023.0,7.654794520547944,18.45205479452055
Andhra Pradesh,Bapatla,2023.0,7.468787878787879,14.333333333333334
Andhra Pradesh,Chittoor,2019.0,7.710333333333334,27.63233333333333
Andhra Pradesh,Chittoor,2022.0,7.341200000000001,37.95466666666667
Andhra Pradesh,Chittoor,2023.0,7.607704918032787,14.836065573770492
Andhra Pradesh,East Godavari,2019.0,7.721204819277107,41.549156626506026
Andhra Pradesh,East Godavari,2022.0,7.671670179135932,42.29104320337197
Andhra Pradesh,East Godavari,2023.0,7.394399999999999,16.08
Andhra Pradesh,Eluru,2023.0,7.135675675675675,19.08108108108108
Andhra Pradesh,Guntur,2019.0,7.651891891891892,68.99864864864864
Andhra Pradesh,Guntur,2022.0,7.739444444444445,82.47433862433861
Andhra Pradesh,Guntur,2023.0,7.5215625,37.28125
Andhra Pradesh,Kakinada,2023.0,7.576086956521739,24.82608695652174
Andhra Pradesh,Konaseema,2023.0,7.720645161290323,11.709677419354838
Andhra Pradesh,Krishna,2019.0,7.826111111111111,31.355925925925927
Andhra Pradesh,Krishna,2022.0,7.84832285115304,29.817295597484275
Andhra Pradesh,Krishna,2023.0,7.331428571428572,8.982142857142858
